image,split,tab_count,phone_visible,distraction_count,focus_ratio
screen_0000.png,train,5,1,0,0.7497314453125
screen_0001.png,train,8,0,2,0.8058984375
screen_0002.png,train,5,0,0,0.8245166015625001
screen_0003.png,train,10,1,1,0.843115234375
screen_0004.png,train,10,0,2,0.838662109375
screen_0005.png,train,10,0,0,0.8232714843750001
screen_0006.png,train,8,0,1,0.8109716796875001
screen_0007.png,train,10,0,1,0.8512744140625
screen_0008.png,train,18,1,2,0.7537304687499999
screen_0009.png,train,12,0,2,0.7420458984375
screen_0010.png,train,5,0,1,0.807568359375
screen_0011.png,train,12,0,1,0.83056640625
screen_0012.png,train,30,1,0,0.8343603515624999
screen_0013.png,train,10,0,3,0.8139453125
screen_0014.png,train,5,1,1,0.8797851562500001
screen_0015.png,train,8,1,0,0.742177734375
screen_0016.png,train,5,0,0,0.7259765625
screen_0017.png,train,10,1,1,0.7948828125
screen_0018.png,train,25,1,1,0.7833642578125
screen_0019.png,train,10,0,2,0.7171728515625
screen_0020.png,train,12,1,3,0.8037597656250001
screen_0021.png,train,15,1,1,0.817890625
screen_0022.png,train,20,1,0,0.752705078125
screen_0023.png,train,25,0,2,0.7741015625000001
screen_0024.png,train,30,1,0,0.7562255859375
screen_0025.png,train,25,0,2,0.759541015625
screen_0026.png,train,8,0,2,0.7522265625
screen_0027.png,train,30,1,1,0.7531005859375001
screen_0028.png,train,25,1,1,0.7839892578125
screen_0029.png,train,5,0,1,0.826796875
screen_0030.png,train,15,1,1,0.7745458984375001
screen_0031.png,train,3,0,2,0.780400390625
screen_0032.png,train,25,0,1,0.710810546875
screen_0033.png,train,12,0,1,0.7826513671875
screen_0034.png,train,8,1,0,0.7459716796875
screen_0035.png,train,3,0,1,0.7568945312500001
screen_0036.png,train,15,0,2,0.8145947265625
screen_0037.png,train,10,1,2,0.7441259765625
screen_0038.png,train,5,0,2,0.7389404296875001
screen_0039.png,train,8,1,1,0.759189453125
screen_0040.png,train,8,1,2,0.7374462890625
screen_0041.png,train,10,0,2,0.801748046875
screen_0042.png,train,10,0,1,0.7840039062499999
screen_0043.png,train,15,0,1,0.8185009765625
screen_0044.png,train,10,1,1,0.8292578125
screen_0045.png,train,25,1,0,0.7166748046875
screen_0046.png,train,3,1,3,0.8035937500000001
screen_0047.png,train,5,0,0,0.7431152343749999
screen_0048.png,train,10,0,2,0.7818603515625
screen_0049.png,train,30,0,2,0.8274609375
screen_0050.png,train,10,1,2,0.7642431640625
screen_0051.png,train,18,0,2,0.773359375
screen_0052.png,train,5,1,2,0.8102197265625
screen_0053.png,train,10,1,1,0.7628906249999999
screen_0054.png,train,18,1,1,0.7994384765625
screen_0055.png,train,20,0,2,0.834462890625
screen_0056.png,train,3,0,1,0.754248046875
screen_0057.png,train,5,0,2,0.8127587890625
screen_0058.png,train,18,0,0,0.72783203125
screen_0059.png,train,3,1,0,0.7665478515625
screen_0060.png,train,12,0,2,0.7906054687499999
screen_0061.png,train,18,0,2,0.74033203125
screen_0062.png,train,20,1,0,0.813720703125
screen_0063.png,train,30,0,0,0.768271484375
screen_0064.png,train,3,1,1,0.8058984375
screen_0065.png,train,8,1,1,0.779296875
screen_0066.png,train,5,0,2,0.79921875
screen_0067.png,train,18,1,2,0.766669921875
screen_0068.png,train,30,0,1,0.7911328125
screen_0069.png,train,30,0,1,0.75994140625
screen_0070.png,train,10,0,1,0.8083007812499999
screen_0071.png,train,18,1,1,0.789013671875
screen_0072.png,train,15,0,3,0.7931640624999999
screen_0073.png,train,20,0,1,0.758251953125
screen_0074.png,train,5,0,1,0.7706298828125
screen_0075.png,train,15,0,2,0.8205810546875
screen_0076.png,train,12,1,2,0.8151171875000001
screen_0077.png,train,12,0,3,0.8115380859375
screen_0078.png,train,25,1,2,0.75072265625
screen_0079.png,train,5,0,0,0.7396533203125001
screen_0080.png,train,5,0,0,0.7892431640625001
screen_0081.png,train,30,1,1,0.809033203125
