tab_count_norm,phone_visible,distraction_count_norm,focus_ratio,speech_class,speech_confidence,wpm_norm,fluency_score,task_class,cognitive_demand,task_confidence,flow_state_label,flow_state_name
0.85,0,0.60,0.25,0,0.72,0.65,0.30,1,0.20,0.78,0,PSEUDO_WORKING
0.90,0,0.50,0.30,2,0.68,0.55,0.45,3,0.30,0.82,0,PSEUDO_WORKING
0.75,0,0.45,0.35,1,0.60,0.40,0.35,1,0.20,0.75,0,PSEUDO_WORKING
0.80,0,0.40,0.40,3,0.75,0.70,0.50,3,0.30,0.80,1,TASK_SWITCHING
0.70,0,0.55,0.35,4,0.80,0.80,0.55,3,0.30,0.85,1,TASK_SWITCHING
0.65,0,0.50,0.45,3,0.72,0.65,0.60,0,0.90,0.70,1,TASK_SWITCHING
0.40,1,0.70,0.30,0,0.65,0.55,0.35,1,0.20,0.60,2,DISTRACTED
0.35,1,0.80,0.25,0,0.58,0.60,0.30,2,0.70,0.55,2,DISTRACTED
0.30,1,0.60,0.35,2,0.70,0.50,0.45,3,0.30,0.75,2,DISTRACTED
0.30,0,0.20,0.70,2,0.80,0.55,0.70,0,0.90,0.82,3,SOFT_FLOW
0.35,0,0.15,0.75,2,0.85,0.50,0.75,2,0.70,0.88,3,SOFT_FLOW
0.25,0,0.10,0.80,2,0.82,0.52,0.72,0,0.90,0.85,3,SOFT_FLOW
0.15,0,0.05,0.90,2,0.90,0.48,0.85,0,0.90,0.92,4,DEEP_FLOW
0.10,0,0.00,0.95,2,0.88,0.50,0.90,2,0.70,0.90,4,DEEP_FLOW
0.20,0,0.05,0.88,2,0.92,0.45,0.82,0,0.90,0.95,4,DEEP_FLOW
