filename,emotion_label,ani_speech_class,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,spectral_centroid,spectral_rolloff,zcr,rms_energy,pitch_mean,pitch_var,tempo,onset_rate,inter_onset_var,silence_ratio
03-01-01-01-01-01-01.wav,neutral,NORMAL_FOCUSED,-258.3,120.5,-12.8,30.2,-5.1,18.9,-8.3,12.1,-3.4,9.8,-2.1,7.6,-1.8,1823.4,3456.7,0.056,0.032,165.2,142.3,112.5,3.2,0.15,0.28
03-01-02-01-01-01-01.wav,calm,NORMAL_FOCUSED,-274.1,115.2,-14.2,28.7,-6.3,16.4,-9.1,10.8,-4.2,8.5,-3.0,6.9,-2.4,1645.8,3120.4,0.042,0.025,148.7,98.5,95.8,2.8,0.12,0.35
03-01-03-01-01-01-01.wav,happy,FAST_ENERGIZED,-231.6,135.8,-8.4,35.6,-3.2,22.3,-5.7,15.4,-1.8,12.3,-0.9,9.1,-0.5,2234.5,4123.8,0.078,0.058,210.3,285.7,138.2,4.5,0.22,0.15
03-01-04-01-01-01-01.wav,sad,SLOW_LABORED,-295.8,98.3,-18.6,22.1,-9.4,12.8,-12.5,7.3,-6.8,5.1,-4.5,3.8,-3.2,1356.2,2456.1,0.031,0.018,125.4,56.2,78.3,1.9,0.08,0.52
03-01-05-01-01-01-01.wav,angry,ERRATIC_SPEECH,-215.4,142.7,-5.2,38.9,-1.8,25.6,-3.1,18.7,0.5,14.6,1.2,11.3,2.1,2567.8,4678.3,0.095,0.075,245.6,412.8,165.4,5.8,0.35,0.08
03-01-06-01-01-01-01.wav,fearful,ERRATIC_SPEECH,-242.7,128.4,-10.1,33.4,-4.5,20.1,-7.2,13.9,-2.9,10.7,-1.5,8.2,-0.8,2145.3,3890.5,0.082,0.048,198.3,356.4,142.1,4.2,0.28,0.18
03-01-07-01-01-01-01.wav,disgust,RAPID_SCATTERED,-248.9,118.6,-11.8,29.5,-5.8,17.2,-8.9,11.5,-3.9,9.1,-2.6,7.0,-1.9,1912.4,3567.2,0.068,0.042,178.5,198.6,125.7,3.8,0.19,0.22
03-01-08-01-01-01-01.wav,surprise,FAST_ENERGIZED,-225.3,138.2,-7.5,36.8,-2.6,23.5,-4.8,16.2,-1.2,13.0,-0.3,10.0,0.4,2389.1,4345.6,0.085,0.062,225.8,320.4,148.9,5.1,0.25,0.12
03-01-01-02-01-01-02.wav,neutral,NORMAL_FOCUSED,-262.1,118.7,-13.5,29.8,-5.6,17.8,-8.8,11.6,-3.8,9.3,-2.5,7.2,-2.0,1798.6,3389.2,0.054,0.030,162.8,135.6,110.2,3.1,0.14,0.30
03-01-03-02-01-01-02.wav,happy,FAST_ENERGIZED,-228.4,137.1,-7.9,36.2,-2.9,23.0,-5.2,15.8,-1.5,12.7,-0.6,9.5,-0.2,2278.3,4189.4,0.081,0.060,215.6,298.3,142.5,4.7,0.23,0.14
